,LatencyInMs,DateTime,CPUUtilization,UsedMem
0,95.07059999999967,2023-04-13 14:09:33.976366,13.4,20019.0
1,98.57930000000437,2023-04-13 14:09:34.074978,,
2,95.16909999999967,2023-04-13 14:09:34.157519,,
3,94.79780000000204,2023-04-13 14:09:34.251726,,
4,98.3802999999952,2023-04-13 14:09:34.362313,,
5,93.41280000000296,2023-04-13 14:09:34.457712,,
6,97.15920000000011,2023-04-13 14:09:34.554931,,
7,94.53509999999454,2023-04-13 14:09:34.645431,,
8,94.04169999999823,2023-04-13 14:09:34.739714,,
9,97.49659999999949,2023-04-13 14:09:34.833377,,
10,94.45320000000379,2023-04-13 14:09:34.936139,,
11,103.08760000000206,2023-04-13 14:09:35.040120,,
12,120.14700000000289,2023-04-13 14:09:35.156651,,
13,100.46549999999854,2023-04-13 14:09:35.250887,,
14,97.72670000000261,2023-04-13 14:09:35.345348,,
15,94.78070000000116,2023-04-13 14:09:35.439488,,
16,96.56400000000076,2023-04-13 14:09:35.550892,,
17,96.46729999999337,2023-04-13 14:09:35.647081,,
18,94.64009999999945,2023-04-13 14:09:35.728384,,
19,96.94989999999848,2023-04-13 14:09:35.838142,,
20,97.16350000000062,2023-04-13 14:09:35.936506,,
21,110.66210000000609,2023-04-13 14:09:36.047645,,
22,108.19629999999592,2023-04-13 14:09:36.155794,,
23,93.74449999999968,2023-04-13 14:09:36.242425,,
24,95.81370000000078,2023-04-13 14:09:36.346065,,
25,95.44640000000015,2023-04-13 14:09:36.442250,,
26,96.07739999999865,2023-04-13 14:09:36.538435,,
27,94.2065999999997,2023-04-13 14:09:36.628639,,
28,94.11619999999488,2023-04-13 14:09:36.722886,,
29,96.3581999999974,2023-04-13 14:09:36.823235,,
30,96.53070000000241,2023-04-13 14:09:36.920423,,
31,98.17639999999983,2023-04-13 14:09:37.011442,,
32,130.39249999999925,2023-04-13 14:09:37.149140,,
33,94.46069999999906,2023-04-13 14:09:37.242509,,
34,94.16789999999509,2023-04-13 14:09:37.336752,,
35,95.09339999999611,2023-04-13 14:09:37.430949,,
36,95.00249999999966,2023-04-13 14:09:37.528505,,
37,93.91829999999857,2023-04-13 14:09:37.620460,,
38,95.81379999999484,2023-04-13 14:09:37.708979,,
39,94.34399999999954,2023-04-13 14:09:37.803147,,
40,94.57759999999382,2023-04-13 14:09:37.897292,,
41,94.37220000000224,2023-04-13 14:09:37.991439,,
42,128.94439999999463,2023-04-13 14:09:38.125929,,
43,96.00559999999803,2023-04-13 14:09:38.228181,,
44,99.42289999999332,2023-04-13 14:09:38.321873,,
45,96.33270000000493,2023-04-13 14:09:38.422188,,
46,93.5211000000038,2023-04-13 14:09:38.509858,,
47,95.23109999999235,2023-04-13 14:09:38.610641,,
48,94.31590000001222,2023-04-13 14:09:38.707443,,
49,95.82249999999704,2023-04-13 14:09:38.853383,,
50,94.27960000000724,2023-04-13 14:09:38.947621,,
51,123.26260000000389,2023-04-13 14:09:39.075244,22.9,20012.0
52,94.26310000000626,2023-04-13 14:09:39.156887,,
53,94.88019999999153,2023-04-13 14:09:39.262208,,
54,99.01080000000206,2023-04-13 14:09:39.356481,,
55,94.58659999999952,2023-04-13 14:09:39.450726,,
56,94.6167000000031,2023-04-13 14:09:39.553583,,
57,93.7748000000056,2023-04-13 14:09:39.641635,,
58,93.91149999999016,2023-04-13 14:09:39.735837,,
59,95.89619999999854,2023-04-13 14:09:39.826671,,
60,94.3843999999956,2023-04-13 14:09:39.923986,,
61,96.67749999999842,2023-04-13 14:09:40.024184,,
62,128.36389999999653,2023-04-13 14:09:40.158283,,
63,98.49629999999365,2023-04-13 14:09:40.252530,,
64,93.78920000000335,2023-04-13 14:09:40.344656,,
65,100.55710000000317,2023-04-13 14:09:40.438899,,
66,95.07010000000093,2023-04-13 14:09:40.547587,,
67,94.06579999999565,2023-04-13 14:09:40.641054,,
68,98.33740000000546,2023-04-13 14:09:40.735252,,
69,97.92540000000827,2023-04-13 14:09:40.838176,,
70,94.01579999999399,2023-04-13 14:09:40.925769,,
71,102.49459999999999,2023-04-13 14:09:41.035022,,
72,116.73689999999226,2023-04-13 14:09:41.141920,,
73,100.12539999999603,2023-04-13 14:09:41.252171,,
74,98.50570000000403,2023-04-13 14:09:41.351749,,
75,93.66459999999677,2023-04-13 14:09:41.442539,,
76,97.79809999999145,2023-04-13 14:09:41.543119,,
77,95.10310000000288,2023-04-13 14:09:41.627508,,
78,97.95689999999979,2023-04-13 14:09:41.735568,,
79,96.91259999999602,2023-04-13 14:09:41.829812,,
80,99.05979999999204,2023-04-13 14:09:41.928555,,
81,97.19340000000898,2023-04-13 14:09:42.030313,,
82,121.91160000000423,2023-04-13 14:09:42.141279,,
83,98.33679999999845,2023-04-13 14:09:42.251189,,
84,94.4233999999966,2023-04-13 14:09:42.345433,,
85,95.73509999999885,2023-04-13 14:09:42.429059,,
86,94.98250000000041,2023-04-13 14:09:42.536745,,
87,94.51579999999637,2023-04-13 14:09:42.629314,,
88,95.01860000000306,2023-04-13 14:09:42.718485,,
89,98.00409999999715,2023-04-13 14:09:42.813964,,
90,100.12810000000627,2023-04-13 14:09:42.925696,,
91,94.2170999999945,2023-04-13 14:09:43.009058,,
92,134.48970000000315,2023-04-13 14:09:43.141310,,
93,95.13809999999978,2023-04-13 14:09:43.235548,,
94,94.63850000000207,2023-04-13 14:09:43.330246,,
95,94.70159999999339,2023-04-13 14:09:43.439988,,
96,95.8662999999973,2023-04-13 14:09:43.536094,,
97,94.31610000000035,2023-04-13 14:09:43.630477,,
98,98.11129999999935,2023-04-13 14:09:43.720144,,
99,100.36739999999611,2023-04-13 14:09:43.908508,,
